ID,category
0,tech
1,politics
2,politics
3,sport
4,sport
5,sport
6,entertainment
7,business
8,sport
9,business
10,sport
11,business
12,business
13,politics
14,business
15,sport
16,politics
17,tech
18,entertainment
19,politics
20,sport
21,business
22,tech
23,politics
24,sport
25,politics
26,politics
27,business
28,business
29,politics
30,politics
31,politics
32,entertainment
33,entertainment
34,politics
35,politics
36,entertainment
37,tech
38,tech
39,politics
40,sport
41,sport
42,tech
43,politics
44,politics
45,business
46,business
47,tech
48,entertainment
49,politics
50,politics
51,sport
52,sport
53,sport
54,entertainment
55,politics
56,politics
57,tech
58,sport
59,sport
60,entertainment
61,tech
62,tech
63,tech
64,entertainment
65,sport
66,sport
67,entertainment
68,entertainment
69,business
70,business
71,business
72,tech
73,business
74,business
75,business
76,politics
77,tech
78,sport
79,tech
80,sport
81,entertainment
82,business
83,politics
84,entertainment
85,sport
86,business
87,business
88,sport
89,sport
90,entertainment
91,tech
92,entertainment
93,tech
94,sport
95,politics
96,sport
97,tech
98,entertainment
99,business
100,politics
101,business
102,sport
103,entertainment
104,entertainment
105,tech
106,entertainment
107,entertainment
108,tech
109,sport
110,business
111,politics
112,tech
113,sport
114,entertainment
115,entertainment
116,sport
117,entertainment
118,business
119,business
120,business
121,sport
122,entertainment
123,entertainment
124,tech
125,business
126,entertainment
127,politics
128,tech
129,entertainment
130,business
131,politics
132,sport
133,sport
134,business
135,business
136,business
137,business
138,politics
139,politics
140,sport
141,sport
142,tech
143,tech
144,sport
145,entertainment
146,tech
147,sport
148,tech
149,tech
150,entertainment
151,sport
152,entertainment
153,sport
154,business
155,entertainment
156,business
157,business
158,entertainment
159,tech
160,politics
161,entertainment
162,sport
163,politics
164,entertainment
165,tech
166,business
167,politics
168,entertainment
169,politics
170,politics
171,sport
172,politics
173,entertainment
174,business
175,business
176,politics
177,politics
178,sport
179,tech
180,business
181,business
182,business
183,business
184,politics
185,politics
186,tech
187,politics
188,politics
189,business
190,entertainment
191,politics
192,politics
193,tech
194,politics
195,sport
196,politics
197,politics
198,sport
199,sport
200,politics
201,politics
202,business
203,tech
204,entertainment
205,entertainment
206,sport
207,entertainment
208,tech
209,politics
210,tech
211,politics
212,business
213,sport
214,entertainment
215,tech
216,sport
217,politics
218,entertainment
219,sport
220,entertainment
221,entertainment
222,sport
223,sport
224,politics
225,tech
226,politics
227,entertainment
228,business
229,sport
230,entertainment
231,tech
232,politics
233,sport
234,business
235,business
236,entertainment
237,tech
238,tech
239,tech
240,entertainment
241,business
242,business
243,entertainment
244,politics
245,politics
246,entertainment
247,business
248,sport
249,entertainment
250,politics
251,entertainment
252,entertainment
253,politics
254,entertainment
255,business
256,business
257,politics
258,business
259,tech
260,business
261,tech
262,entertainment
263,business
264,politics
265,politics
266,tech
267,entertainment
268,entertainment
269,sport
270,business
271,sport
272,tech
273,business
274,business
275,politics
276,politics
277,entertainment
278,sport
279,sport
280,business
281,business
282,entertainment
283,sport
284,entertainment
285,sport
286,politics
287,politics
288,business
289,business
290,entertainment
291,business
292,entertainment
293,tech
294,business
295,tech
296,entertainment
297,business
298,tech
299,politics
300,tech
301,entertainment
302,entertainment
303,business
304,politics
305,tech
306,entertainment
307,entertainment
308,sport
309,tech
310,politics
311,politics
312,business
313,politics
314,sport
315,politics
316,entertainment
317,sport
318,business
319,business
320,sport
321,entertainment
322,business
323,entertainment
324,politics
325,entertainment
326,sport
327,entertainment
328,tech
329,entertainment
330,entertainment
331,sport
332,sport
333,business
334,business
335,sport
336,politics
337,business
338,politics
339,politics
340,business
341,business
342,politics
343,politics
344,entertainment
345,tech
346,entertainment
347,business
348,business
349,business
350,sport
351,business
352,tech
353,politics
354,tech
355,entertainment
356,sport
357,politics
358,business
359,business
360,politics
361,politics
362,business
363,sport
364,politics
365,tech
366,entertainment
367,sport
368,entertainment
369,business
370,tech
371,politics
372,tech
373,sport
374,politics
375,tech
376,tech
377,sport
378,entertainment
379,tech
380,business
381,business
382,tech
383,sport
384,business
385,business
386,sport
387,business
388,business
389,sport
390,entertainment
391,politics
392,sport
393,business
394,tech
395,politics
396,tech
397,entertainment
398,politics
399,entertainment
400,tech
401,politics
402,politics
403,sport
404,tech
405,sport
406,tech
407,tech
408,politics
409,tech
410,entertainment
411,sport
412,business
413,sport
414,politics
415,sport
416,politics
417,entertainment
418,sport
419,tech
420,entertainment
421,tech
422,politics
423,tech
424,business
425,business
426,tech
427,business
428,tech
429,politics
430,tech
431,tech
432,business
433,sport
434,entertainment
435,tech
436,sport
437,entertainment
438,entertainment
439,entertainment
440,sport
441,tech
442,business
443,business
444,business
445,politics
446,business
447,tech
448,sport
449,politics
450,politics
451,business
452,politics
453,tech
454,politics
455,business
456,sport
457,tech
458,sport
459,politics
460,tech
461,entertainment
462,sport
463,tech
464,entertainment
465,business
466,business
467,sport
468,business
469,sport
470,sport
471,business
472,sport
473,business
474,tech
475,business
476,tech
477,tech
478,sport
479,politics
480,entertainment
481,tech
482,entertainment
483,tech
484,tech
485,politics
486,business
487,tech
488,sport
489,tech
490,politics
491,business
492,sport
493,tech
494,sport
495,tech
496,entertainment
497,sport
498,business
499,politics
500,entertainment
501,tech
502,business
503,business
504,entertainment
505,business
506,business
507,business
508,entertainment
509,sport
510,sport
511,sport
512,sport
513,tech
514,politics
515,sport
516,sport
517,entertainment
518,sport
519,entertainment
520,business
521,sport
522,entertainment
523,politics
524,tech
525,sport
526,tech
527,business
528,tech
529,sport
530,tech
531,entertainment
532,entertainment
533,politics
534,business
535,entertainment
536,sport
537,sport
538,entertainment
539,politics
540,sport
541,politics
542,politics
543,sport
544,sport
545,sport
546,business
547,sport
548,sport
549,sport
550,tech
551,tech
552,sport
553,politics
554,entertainment
555,sport
556,sport
557,sport
558,politics
559,politics
560,entertainment
561,sport
562,sport
563,politics
564,business
565,politics
566,entertainment
567,entertainment
568,sport
569,tech
570,politics
571,business
572,business
573,entertainment
574,business
575,tech
576,politics
577,entertainment
578,politics
579,sport
580,tech
581,entertainment
582,sport
583,business
584,entertainment
585,tech
586,business
587,tech
588,sport
589,business
590,business
591,politics
592,business
593,entertainment
594,politics
595,sport
596,tech
597,politics
598,sport
599,business
600,tech
601,politics
602,business
603,business
604,entertainment
605,entertainment
606,politics
607,entertainment
608,business
609,business
610,business
611,business
612,entertainment
613,politics
614,tech
615,business
616,business
617,sport
618,politics
619,sport
620,politics
621,politics
622,entertainment
623,business
624,business
625,entertainment
626,sport
627,sport
628,tech
629,sport
630,entertainment
631,business
632,tech
633,entertainment
634,politics
635,politics
636,entertainment
637,sport
638,politics
639,tech
640,entertainment
641,business
642,sport
643,politics
644,tech
645,politics
646,business
647,entertainment
648,business
649,business
650,politics
651,politics
652,politics
653,sport
654,entertainment
655,sport
656,business
657,business
658,sport
659,business
660,politics
661,business
662,tech
663,sport
664,politics
665,politics
666,politics
667,politics
